ticker,name,source,market_cap,avg_volume,last_price
CDW,CDW Corporation - Common Stock,nasdaq,13099838982.501778,1809777.0,102.54000091552734
ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,nasdaq,13065591107.706337,177642.0,93.7699966430664
APA,APA Corporation - Common Stock,nasdaq,12972357600.576382,8760073.0,36.70000076293945
APLD,Applied Digital Corporation - Common Stock,nasdaq,12742463787.614971,21284432.0,44.59000015258789
BBIO,"BridgeBio Pharma, Inc. - Common Stock",nasdaq,12668305192.332108,2649029.0,64.68000030517578
AGNC,AGNC Investment Corp. - Common Stock,nasdaq,12397636356.550133,19243808.0,10.800000190734863
DKNG,DraftKings Inc. - Class A Common Stock,nasdaq,12160117418.224874,14817826.0,24.510000228881836
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,nasdaq,12030549469.724045,1529180.0,115.41999816894531
ALGN,"Align Technology, Inc. - Common Stock",nasdaq,11789059929.182236,1184793.0,164.61000061035156
AAON,"AAON, Inc. - Common Stock",nasdaq,11606889057.0253,1008327.0,141.6999969482422
COO,"The Cooper Companies, Inc.  - Common Stock",nasdaq,11507847104.723717,2097547.0,58.97999954223633
ERIE,Erie Indemnity Company - Class A Common Stock,nasdaq,11351607252.628784,242583.0,217.08999633789062
COKE,"Coca-Cola Consolidated, Inc. - Common Stock",nasdaq,11347880556.726654,540160.0,170.47999572753906
CGNX,Cognex Corporation - Common Stock,nasdaq,11193372629.770302,2432475.0,67.26000213623047
AXSM,"Axsome Therapeutics, Inc. - Common Stock",nasdaq,11139495608.837097,700729.0,216.47000122070312
DRS,"Leonardo DRS, Inc. - Common Stock",nasdaq,11067959437.381306,1154416.0,41.4900016784668
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",nasdaq,10950224511.63694,2130014.0,77.73999786376953
DPZ,Domino's Pizza Inc - Common Stock,nasdaq,10418282962.002869,1046683.0,313.2200012207031
BMRN,BioMarin Pharmaceutical Inc. - Common Stock,nasdaq,10162896103.954376,2032340.0,52.58000183105469
CYTK,"Cytokinetics, Incorporated - Common Stock",nasdaq,10123055082.608826,2456186.0,74.55999755859375
BSY,"Bentley Systems, Incorporated - Class B Common Stock",nasdaq,9915923253.937225,3004718.0,32.63999938964844
ENSG,"The Ensign Group, Inc. - Common Stock",nasdaq,9901235428.033447,406062.0,169.41000366210938
CAMT,Camtek Ltd. - Ordinary Shares,nasdaq,9656974320.741165,464303.0,207.4600067138672
CART,Maplebear Inc. - Common Stock,nasdaq,9497554747.877296,4526355.0,40.40999984741211
BPOP,"Popular, Inc. - Common Stock",nasdaq,9483816140.596542,530260.0,146.9499969482422
ALGM,"Allegro MicroSystems, Inc. - Common Stock",nasdaq,8966225086.207428,2183224.0,48.38999938964844
CRUS,"Cirrus Logic, Inc. - Common Stock",nasdaq,8887017167.542923,640429.0,174.22999572753906
DOCU,"DocuSign, Inc. - Common Stock",nasdaq,8838315475.25164,4608685.0,45.4900016784668
COLB,"Columbia Banking System, Inc. - Common Stock",nasdaq,8516806589.806362,2902719.0,29.420000076293945
AAL,"American Airlines Group, Inc. - Common Stock",nasdaq,8459115877.000159,66498447.0,12.789999961853027
AVAV,"AeroVironment, Inc. - Common Stock",nasdaq,8423213913.515579,1610468.0,166.4499969482422
CIFR,Cipher Digital Inc. - Common Stock,nasdaq,8295517996.031794,26262295.0,20.280000686645508
AXTI,AXT Inc - Common Stock,nasdaq,8230890619.31543,11819288.0,125.80999755859375
BOKF,BOK Financial Corporation - Common Stock,nasdaq,7892115323.795044,344944.0,129.88999938964844
CHRD,Chord Energy Corporation - Common Stock,nasdaq,7885826975.157532,1077644.0,140.07000732421875
CELH,"Celsius Holdings, Inc. - Common Stock",nasdaq,7832820474.369507,7464522.0,30.639999389648438
CBSH,"Commerce Bancshares, Inc. - Common Stock",nasdaq,7431719448.108513,1301629.0,50.97999954223633
CORZ,"Core Scientific, Inc. - Common Stock",nasdaq,7295467693.927231,13458870.0,22.950000762939453
CHYM,"Chime Financial, Inc. - Class A Common Stock",nasdaq,7002139542.773056,4831893.0,18.229999542236328
AVT,"Avnet, Inc. - Common Stock",nasdaq,6796515401.723526,1091442.0,82.86000061035156
AUGO,Aura Minerals Inc. - Common Shares,nasdaq,6791954211.816467,914388.0,81.05999755859375
DOX,Amdocs Limited - Ordinary Shares,nasdaq,6730717437.171936,1188508.0,62.56999969482422
BRKR,Bruker Corporation - Common Stock,nasdaq,6586802820.163361,2218296.0,43.27000045776367
CBC,"Central Bancompany, Inc. - Class A Common Stock",nasdaq,6548582841.939926,629759.0,27.309999465942383
BZ,KANZHUN LIMITED - American Depository Shares,nasdaq,6507813583.65069,4144685.0,14.3100004196167
APGE,"Apogee Therapeutics, Inc. - Common Stock",nasdaq,6377941009.964943,899016.0,84.5999984741211
EQPT,EquipmentShare.com Inc - Class A Common Stock,nasdaq,6190917255.746719,1534647.0,23.270000457763672
DBX,"Dropbox, Inc. - Class A Common Stock",nasdaq,6180134138.611719,4004231.0,26.489999771118164
CPB,The Campbell's Company - Common Stock,nasdaq,6150761797.22551,8785565.0,20.6299991607666
CGON,"CG Oncology, Inc. - Common stock",nasdaq,6114195401.442741,1184426.0,69.31999969482422
CELC,Celcuity Inc. - Common Stock,nasdaq,6073019817.497635,819998.0,125.63999938964844
CHDN,"Churchill Downs, Incorporated - Common Stock",nasdaq,6005782434.74115,1067749.0,86.16999816894531
ACT,"Enact Holdings, Inc. - Common Stock",nasdaq,5983288015.905533,311031.0,42.86000061035156
CENX,Century Aluminum Company - Common Stock,nasdaq,5956258178.664482,2187342.0,60.18000030517578
ALM,Almonty Industries Inc. - Common Shares,nasdaq,5935879502.727785,5486170.0,20.920000076293945
DSGX,The Descartes Systems Group Inc. - Common Stock,nasdaq,5918653383.754372,636645.0,68.87999725341797
ALKS,Alkermes plc - Ordinary Shares,nasdaq,5911991077.751678,2342498.0,35.470001220703125
COGT,"Cogent Biosciences, Inc. - Common Stock",nasdaq,5826598675.676117,2024159.0,34.099998474121094
CZR,"Caesars Entertainment, Inc. - Common Stock",nasdaq,5656108439.335899,5323362.0,27.770000457763672
APPF,"AppFolio, Inc. - Class A Common Stock",nasdaq,5641807439.155457,374950.0,159.55999755859375
EMAT,Evolution Metals & Technologies Corp. - Common Stock,nasdaq,5619023256.881504,167470.0,9.470000267028809
CORT,Corcept Therapeutics Incorporated - Common Stock,nasdaq,5496401694.702766,1686585.0,51.20000076293945
CACC,Credit Acceptance Corporation - Common Stock,nasdaq,5457437341.390869,194732.0,521.739990234375
BGC,"BGC Group, Inc. - Class A Common Stock",nasdaq,5394226730.956535,2681526.0,11.239999771118164
CAR,"Avis Budget Group, Inc. - Common Stock",nasdaq,5340784719.582642,2847595.0,151.19000244140625
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",nasdaq,5289166691.211067,907631.0,83.1500015258789
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",nasdaq,5251432841.14349,5214895.0,41.02000045776367
CRSP,CRISPR Therapeutics AG - Common Shares,nasdaq,5209199094.033905,1929957.0,54.0099983215332
DIOD,Diodes Incorporated - Common Stock,nasdaq,5145350662.511459,567381.0,111.98999786376953
BCPC,Balchem Corporation - Common Stock,nasdaq,5106394600.154053,203259.0,158.92999267578125
ACLS,"Axcelis Technologies, Inc. - Common Stock",nasdaq,5073551773.035446,879504.0,165.0800018310547
CROX,"Crocs, Inc. - Common Stock",nasdaq,4989834361.175537,1362129.0,100.41999816894531
ENPH,"Enphase Energy, Inc. - Common Stock",nasdaq,4962203184.108124,5961142.0,37.650001525878906
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,nasdaq,4905455668.6204605,380021.0,95.98999786376953
DUOL,"Duolingo, Inc. - Class A Common Stock",nasdaq,4899266323.645454,2526318.0,105.1500015258789
BLLN,"BillionToOne, Inc. - Class A common stock",nasdaq,4872761687.253662,426516.0,105.94000244140625
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",nasdaq,4762522369.105293,952900.0,87.12000274658203
CVLT,"Commvault Systems, Inc. - Common Stock",nasdaq,4573336248.0,1058444.0,104.0
CAI,"Caris Life Sciences, Inc. - Common Stock",nasdaq,4505640848.690076,2403990.0,15.9399995803833
ACIW,"ACI Worldwide, Inc. - Common Stock",nasdaq,4306384167.249298,821970.0,42.36000061035156
ACMR,"ACM Research, Inc. - Class A Common Stock",nasdaq,4282762350.9786377,1243973.0,64.66999816894531
EBC,"Eastern Bankshares, Inc. - Common Stock",nasdaq,4246764952.256626,2117234.0,19.649999618530273
DOO,BRP Inc. - Common Subordinate Voting Shares,nasdaq,4199359109.857361,468878.0,56.95000076293945
COCO,"The Vita Coco Company, Inc. - Common Stock",nasdaq,4138382059.4918137,1533081.0,72.45999908447266
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",nasdaq,4077111196.571724,1887621.0,12.779999732971191
DLO,DLocal Limited - Class A Common Shares,nasdaq,3910797804.0645676,1575801.0,13.260000228881836
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",nasdaq,3853839521.9555054,1199247.0,36.54999923706055
BELFB,Bel Fuse Inc. - Class B Common Stock,nasdaq,3851545229.8858337,188304.0,302.7300109863281
CATY,Cathay General Bancorp - Common Stock,nasdaq,3823703555.3728104,483752.0,57.040000915527344
CPRX,"Catalyst Pharmaceuticals, Inc. - Common Stock",nasdaq,3811998865.367426,1781413.0,31.149999618530273
